Name	Assigned Name	Formula	KEGG Pathways	Metabolika Pathways	Molecular Weight	RT [min]	Area: A1-GenX-colon.raw (F1)	Area: A3-GenX-colon.raw (F3)	Area: A5-GenX-colon.raw (F5)	Area: B2-PFos-colon.raw (F8)	Area: B4-PFos-colon.raw (F10)	Area: B6-PFos-colon.raw (F12)	Area: D1-GenX-colon.raw (F17)	Area: D3-GenX-colon.raw (F19)	Area: D5-GenX-colon.raw (F21)	Area: B1-GenX-colon.raw (F7)	Area: B3-GenX-colon.raw (F9)	Area: B5-GenX-colon.raw (F11)	Area: D8-PFos-colon.raw (F18)	Area: D10-PFos-colon.raw (F20)	Area: D12-PFos-colon.raw (F22)	Area: A8-PFos-colon.raw (F2)	Area: A10-PFos-colon.raw (F4)	Area: A12-PFos-colon.raw (F6)	Area: C2-PFos-colon.raw (F14)	Area: C4-PFos-colon.raw (F15)	Area: C6-PFos-colon.raw (F16)
Compound1			NA		71.07408	3.359	412487.406864198	1943790.9284076	286679.099508793	136693.349075655	598012.703578223	439805.141304352	561683.882411237	206673.484675047	844724.619103274	1207997.80487491	2592926.78004917	1034831.19625456	104794.589915834	406725.091631294	183102.911823375	312944.55426386	500362.655911412	495835.260274363	157510.324620934	73342.8362887642	311047.311142636
Compound2	Choline; 	C5 H13 N O; 	NA		71.07412	4.592	1150797.58686279	7418076.62642957	1136863.15811102	6476545.40899315	14850995.6636319	11686745.1700875	5624097.93714459	23677936.5075096	8911479.81141965	11498288.748547	3856314.33830495	583408.934936026	7153831.64049745	3626628.76388451	6430776.83977348	972805.160500521	6502866.3698644	8595464.90662127	5811120.62196493	4283870.95355673	8665234.480525
Compound3			NA		71.07461	4.359	2470471.38306277	6231223.27636455	4674316.76671769	86631.2886274238	19566933.2305445	7605437.46049629	2286995.16838661	1202749.86323294	1817794.82393912	4799013.71058263	4348582.0284202	2526775.44608767	7079772.33063316	2726140.28016802	4762446.4203311	94310.1467304945	6349786.39644058	6952683.47805862	67238.94702545	3379807.76967022	7862748.01725866
Compound4			NA		71.93049	2.995	2469216.50775909	1382182.56711776	3394171.81628071	1930947.29051424	4420676.20873933	2632561.36202051	1498120.71819363	3242173.17656876	3313217.30957972	2808573.88956825	1420520.6053927	2087354.42894528	2933671.94587211	2036190.30291613	2604955.28436784	1344979.12735606	1641226.32883445	932944.907240166	307608.30061319	1170856.12661007	138951.194977822
Compound5			NA		72.01959	3.748	2861697.35894773	2050015.60356396	2930396.80295385	702417.238046219	8899664.00911173	4251918.87707187	426289.188967051	2831674.44629149	600549.993113827	3288609.60029853	4983318.47672504	321766.991907236	402772.611846186	3905443.95020713	1307844.92167412	718144.731721109	1102337.1275068	2991737.22648743	2896675.76875006	3406653.29051874	3412971.62160452
Compound6			NA		72.01967	4.096	1719936.16246822	211158.243199684	123761.505386476	76075.0246153863	3188818.0943345	3352919.6046931	482884.689553179	492362.041604658	639182.079964821	815521.80656772	3080314.97412577	545135.281428531	998344.219378459	2755483.31271816	334494.952703914	148997.506025567	728180.204222283	626158.861045513	84703.251311281	782490.137994256	4162561.42355127
Compound7			NA		73.05405	3.731	588191.237741643	363801.888266439	602395.483018979	1492.73120356852	49765.9381047192	260657.391475896	170979.637428347	175080.83861888	120001.197464612	324728.347908265	291565.919545226	156690.604066627	109379.562278427	262975.200331594	309276.13179251	3200.07535713811	115616.350154905	72630.9329659159	2066.43744795542	75062.7717325614	265474.71575236
Compound8			NA		74.03524	4.364	295300.128125385	559040.630109621	454326.459194616	71807.65835393	478724.333767637	779576.727006191	202405.384871245	534859.740307957	337964.950976297	423462.760503639	1380817.93942864	245040.767782707	240851.788124427	498424.568838435	430695.807199638	129694.822469743	338837.836293365	1224974.40743403	81279.4502479829	472376.529838892	1115345.40329584
Compound9			NA		76.99207	0.546	826265.651481122	777328.73000769	715861.890146507	479689.971405657	444736.11115947	2051628.98264654	375480.425599587	677478.292987125	588689.945280233	735069.730690877	684421.591533648	313935.342273257	1535118.26091452	727785.717261908	1400137.65535987	833605.659140647	460076.30339936	412227.744890352	644034.611920676	726926.083100708	2452527.24393743
Compound10			NA		77.52226	4	167353.620879105	240912.967228532	1361949.67713217	2813.72714593611	334419.69448543	455995.505767157	120294.889960126	54187.6888685518	218698.990065344	650892.982681345	1451015.77802257	223653.201295463	117175.913895775	591420.932908776	31044.5754705248	5526.18700102658	388021.740752244	433605.072722225	10185.3811054958	53636.1031725258	684950.17841306
