Name	Assigned Name	Formula	KEGG Pathways	Metabolika Pathways	Molecular Weight	RT [min]	A1	A3	A5	B2	B4	B6	D1	D3	D5	B1	B3	B5	D8	D10	D12	A8	A10	A12	C2	C4	C6
Compound2	Choline	C5 H13 N O;	NA		71.07412	4.592	1150797.58686279	7418076.62642957	1136863.15811102	6476545.40899315	14850995.6636319	11686745.1700875	5624097.93714459	23677936.5075096	8911479.81141965	11498288.748547	3856314.33830495	583408.934936026	7153831.64049745	3626628.76388451	6430776.83977348	972805.160500521	6502866.3698644	8595464.90662127	5811120.62196493	4283870.95355673	8665234.480525
Compound18	Cyclopentenone	C5 H6 O	NA		82.04222	4.429	881646.793976307	5797134.38804553	3483297.79195517	68955.7119964371	1306744.9734971	615880.538439615	327795.990042363	2355996.70227876	1633889.79974227	214696.710271047	780358.00173453	359076.963576161	741080.31825037	1382049.13379205	2226595.75463196	129837.152901018	5238239.24198754	6599920.313982	20253.1868324926	2222411.65902655	5076340.85053723
Compound19	Cyclohexylamine	C6 H13 N	NA		82.07858	4.52	3804501.06343137	2407740.85387384	4347576.66502	9163.1175739615	666812.642843673	3468220.18911848	2050175.85311118	3780141.86723258	2679601.56643653	4998110.26300959	2348075.67578036	2407504.17382086	8292377.13401852	3477972.27966452	9371193.73486736	27604.5773373981	2935347.63361769	141702.507539007	21482.3790316363	4607406.90802168	367960.167287452
Compound21	Cyclohexene	C6 H10	NA		82.07862	5.41	7546297.17035796	6650839.84360864	4771468.89478519	345738.694591431	14626410.74283	6500918.96615333	848068.492861233	2630716.68132066	1234985.27236428	3730101.12838163	3368232.2346223	1021937.40180504	13933944.6713728	7330597.30970583	13595226.464516	4514293.46995466	17252912.6434787	3362377.25591616	2337537.54425649	14638155.6448956	3482937.92060284
Compound26	D-Proline	C5 H9 N O2	NA		83.03734	4.018	12301586.8319005	29729362.7136791	21455816.7946892	10738.0011960693	9237759.04238715	53313645.203182	7804962.57800065	14489065.1314023	9832012.66943579	23931391.9362896	21804113.3333042	18293185.8719581	16316100.430647	9291027.24561759	28541508.1356922	71899.0586190255	19392834.274235	20858761.6652973	8999.2473166062	15454793.5778988	22389257.4607865
Compound27	104680	C4 H5 N O	NA		83.03736	4.429	9334044.07240848	24509163.4208728	16892781.6735163	184566.44741999	6006746.53338303	14169680.8569456	1110486.27918738	3159512.4488078	512814.777456585	15189962.0895219	15503178.5995675	4316359.58562768	16027799.4129331	9130688.85807154	32704256.151838	194273.887980094	2003645.54904705	2562168.55878889	165354.840092811	26015983.245559	23555523.5833651
Compound29	UE0050000	C4 H4 O2	NA		84.02147	4.238	3054543.27898414	219235.727286512	1480539.84862223	29383.1894395546	2117354.04784045	2202389.75068057	462933.43788592	2311849.26125934	430759.382979135	641936.445300887	767490.220029451	447976.640920198	645590.610174216	1912166.49198997	137481.015255077	88536.3247064528	1384655.03368065	475019.739266166	59408.8267100936	1549100.85022592	2872908.54556487
Compound35	1,4-Difluoro-1,3-butadiyne	C4 F2	NA		85.99723	35.741	80218.2995969554	91122.3661924092	81579.4283116721	30219.5122776751	66922.8900742638	253333.075205605	83117.4153847921	57601.8503149073	37226.3212544668	54283.7983567057	289282.666311043	7499.88275057585	311234.689419368	646825.474099346	143733.162462024	274963.493247009	54074.0584076958	17959.5782659334	14977.2858000684	84505.6646428628	53168.3415585253
Compound36	Nitroacetonitrile	C2 H2 N2 O2	NA		86.01164	3.798	147505.767006454	86792.2036510088	1221026.40648391	7394.02377462875	295463.809707677	248555.811131433	107341.907330336	82046.3289695248	227329.690583071	630352.003745046	1165966.12829644	178321.554348908	156747.892685292	1896789.31615649	85725.0074970326	13716.8528309735	599116.728045081	158343.718820785	11188.4563535664	64292.4213142904	513445.37362156
Compound38	Biacetyl	; C4 H6 O2	NA	; Other	86.03718	3.865	2091618.90746523	1361483.71157234	2391044.4882687	447521.428139724	6051475.57212285	2742464.44364554	648442.723817996	1572611.72135944	502415.453347754	2838251.59240403	2768212.36339025	474754.220491433	474623.059650232	2500089.45677722	802296.796197002	405040.750871662	965999.935898285	2782770.30149379	1862199.29265569	1565097.30730204	2220298.20179791
Compound45	Pyruvic acid	C3 H4 O3	NA		88.01461	4.258	1010097.35532113	798527.825069843	809158.623827222	65161.1099170394	2658653.32117365	4941934.5456026	126953.740614496	885181.328262559	183212.582376868	646423.430076015	1396319.92015752	182880.31767605	364076.321977945	849020.680997976	3195448.25145654	111204.589036222	479435.562701254	2184818.43032824	70464.8313551928	1584398.3956921	3758168.15606524
Compound47	beta-Alaninamide	C3 H8 N2 O	NA		88.06389	4.412	534852.670724701	441954.273438152	433247.983626673	31528.0449465662	1598184.42072484	426119.575555848	324297.546757831	518314.215685654	471046.263818211	478686.32134701	943141.521303456	383944.508397071	1326327.42045695	542836.674622673	1138567.67088975	50910.3675768402	1922768.53321356	794533.764846429	30920.8970280391	447686.388415212	567713.071128128
Compound51	Lactamide	C3 H7 N O2	NA	Superpathway of L-lysine degradation;Superpathway of indole-3-acetate conjugate biosynthesis;Arginine, ornithine and proline interconversion;Other	89.04812	3.696	3881622.20208856	6211954.30203633	5524267.85304996	42019.0101388843	2087845.83339962	5883481.5664513	1718513.69728085	3445464.89252879	1638456.82834732	4586250.62499326	4282691.09755211	2550398.71435218	3622197.81154223	4609990.21205024	5432873.17323448	50823.6268156568	2997778.13575179	405274.126668952	54776.4165580783	3336050.51984878	4974599.78365394
