Name	Assigned Name	Formula	KEGG Pathways	Metabolika Pathways	Molecular Weight	RT [min]	Area: C2.raw (F17)	Area: C4.raw (F18)	Area: C6.raw (F19)	Area: A1.raw (F1)	Area: A3.raw (F3)	Area: A5.raw (F5)	Area: D1.raw (F20)	Area: D3.raw (F22)	Area: D5.raw (F24)	Area: B1.raw (F7)	Area: B3.raw (F9)	Area: B5.raw (F11)	Area: B2.raw (F8)	Area: B4.raw (F10)	Area: B6.raw (F12)	Area: D2.raw (F21)	Area: D4.raw (F23)	Area: D6.raw (F25)	Area: A2.raw (F2)	Area: A4.raw (F4)	Area: A6.raw (F6)
Compound1	Choline	C5 H13 N O			71.07375	4.481	1684011478.76819	844927507.3426	2600977059.35571	891031013.983756	808676112.233022	1147999916.26385	849859827.392684	1862327881.02233	711955772.79044	1085488169.23508	1225354659.14701	271610435.445744	843308184.858677	725265511.182614	880746401.024565	1058411706.38428	2165892009.12347	502204954.400578	973370114.48315	1110433303.2793	1361099770.91382
Compound2					72.01958	3.716	582998818.312448	621708033.084088	384923202.633217	603690274.984341	329776256.298342	339602888.390228	321562738.053723	123686390.53311	377824604.510427	166893400.926027	176671179.103498	210352711.225214	595136697.856272	428403787.911139	381184915.127968	425304209.383353	7406360.91037082	15871850.3231966	1086213455.72284	743511674.36576	537926553.156234
Compound3					72.01959	4.066	46649192.9885462	690396901.143115	293147589.696142	232831895.932455	68099236.7777756	64264850.7964065	111243959.000493	133149813.738535	166556926.341755	24757631.7729218	23584026.0064076	31704327.8524507	124234014.938011	482615533.392872	328867575.632813	242005830.86261	696009593.870991	435061751.984447	53795510.103382	489424864.693884	544621165.189914
Compound4					73.05327	3.709	63470093.5577513	36725718.0967474	41658985.001971	25349025.6011951	1533949.58738191	18102489.620508	3047171.11436217	15178290.8460497	32507295.6947128	1558924.5754004	2304365.0570016	1635968.41339783	3201221.13694662	9892801.13485222	13815487.6642983	30575928.0902564	4586339.14445494	26046649.6588859	14297491.3410021	18568250.0697845	20359270.2753904
Compound5	Propylamide; 	C3 H7 N O; 	Metabolic pathways;Other; 	Superpathway of L-threonine metabolism; 	73.05333	4.073	320693316.36406	304858569.818123	72157973.3111431	158342957.426286	13654781.2983059	37526308.7225094	68280808.1415777	20021317.6321159	81109101.0479362	6381416.48624602	25566371.1025026	20632075.0031846	16052898.3388904	43377733.0600134	50875370.0810701	54802114.07848	57186987.5595862	116760830.087014	164881235.245584	76051793.066841	78266494.5637693
Compound6					74.03531	3.695	372235054.593136	810171598.280873	251545196.995411	481753459.577015	237621196.864198	366975314.426667	235454706.039507	137815249.346026	371648365.367599	146872143.464559	163771816.960886	172640722.682213	313229121.187893	311970789.639485	304438350.629721	232528887.479683	29204944.1588514	4147572.84712087	1087475427.35559	408903499.626983	585380156.048061
Compound7	[Similar to: NP-017664; ΔMass: -418.1854 Da]				74.03532	4.028	193895878.770223	116773995.914049	205691243.183172	56767744.056286	70573872.1323543	55973773.5192656	70314245.7881909	63058706.7062997	66056645.5810762	31736092.7697505	20926485.6277179	12322893.7481065	173442539.352525	340399550.241944	232760217.221723	264110852.135331	446110953.248908	225059194.207281	60467265.8293046	421912941.779866	389330761.507043
Compound8					76.01459	3.744	99107158.264625	125341075.647955	82645002.2648306	344745609.907054	37956590.3249919	97072650.7004399	122569432.165711	156467118.279569	60921117.1761287	53863959.4276225	124996915.613693	197149663.501592	97915997.2026193	65708998.3507779	96948913.3082145	110571384.239514	4453473.55105463	11671307.2932342	210804025.677611	152677022.396858	110632219.166377
Compound9					76.99201	1.277	32843788.3252589	55751418.3310883	57643304.166557	82188651.4857211	29093153.6262163	36016543.7777271	38344703.6742602	76199237.9667106	87129753.555332	22983444.3131928	45821274.0038415	39346692.1989438	30394975.210811	35608577.8515505	26236217.0203736	76605735.1283975	57296222.6416235	110931229.588668	24402503.2145989	29700592.653514	36745189.2244005
Compound10			Other		78.01112	35.308	136260578.4275	91226242.1340919	39301976.8147172	33616350.5298967	48993602.8799266	41979795.8410315	46786983.4431908	71464897.8735223	67117350.3516302	33028495.6566395	23872223.9680984	72916938.7712266	31157602.1754667	49072325.7875943	40674489.2891745	54377617.613273	60112710.50416	59345674.92039	45019142.6160165	27839476.3891862	14757022.9702122
Compound11					80.0631	25.299	5256531.60596448	6897584.47678422	11876636.441667	3189724.32012833	10144219.0048747	1625958.95530818	4403665.26015958	9400188.95578866	42163816.253774	3108395.44885542	3697826.51789203	4605950.18913372	41783345.0213372	34750728.0979659	44453800.1271481	49175061.7491304	6705512.42411577	56655166.7249627	19918894.7042439	22461604.3542777	10415024.8569744
Compound12					81.53033	3.374	10056648.6834129	17254445.3441551	15175404.9863161	30216597.3315317	25081414.3217862	25155512.3666271	16924917.6832537	5680332.77014271	10081383.1963059	76042082.8834808	26339168.3693888	69193495.0698837	13494946.625568	20792989.8350574	22173671.0715301	8539639.22851107	14956809.0787528	10279343.7035142	20127653.6433848	26986530.453729	16499704.4940465
Compound13	Cyclohexylamine	C6 H13 N			82.0786	4.929	234298924.75696	604370988.887361	474627971.280569	473678521.746409	373666297.482853	222454313.383997	347841896.561704	338817967.177389	482781756.162171	197001313.576799	302712037.049717	174006332.838556	375299110.915558	338115659.089865	457904551.180766	794788594.481261	346338253.963343	357795121.023322	630193867.637963	337447736.069986	374011121.915475
Compound14	Cyclohexene	C6 H10			82.0786	10.453	450743079.469143	1419781971.62468	1245632539.97403	310988129.994477	439963008.822815	302199314.623539	982759816.400167	1052169420.02962	1545617166.87067	405250734.335085	1051562498.28652	1021188088.1021	952722862.475928	654147191.239815	943550690.282171	1939532598.33296	1406278749.62484	887715081.878344	453913171.529908	586483213.857191	678803060.505227
Compound15	Cyclohexylamine	C6 H13 N			82.07866	4.484	213506909.274935	412311432.864075	274024359.767914	473678521.746409	39263213.8454669	72342580.6197696	78385686.1513871	206825267.653945	331387502.045111	75868576.7772755	73635577.8544354	41460420.3656644	59984858.7956993	127389361.911229	211109844.627376	351697777.254388	149827756.256039	210031438.431435	171240132.064637	190023592.040516	367664457.470645
Compound16	; 3-Cyanopropanal	; C4 H5 N O			83.03754	4.107	179158777.331582	85294979.4897779	138678923.057934	235401380.080928	31587485.0791933	179636378.597171	75404620.17219	63752958.7887003	144830844.214416	56503247.1909785	93159665.3863477	48410330.1281803	113855222.131647	174377223.105524	95371320.8194351	111561988.686274	73865035.4776494	126371333.287406	126752662.295004	151925388.205751	150252435.553346
Compound17					83.03758	3.723	154204869.209668	89457355.8073247	67947500.122337	40161563.6069794	4791779.59311314	67278242.8629577	14688733.0306011	60006764.7208664	121685389.240653	5076760.58964104	4167372.09765352	5361532.81897032	9061080.75167626	84669505.8020922	74504879.8249158	103828080.153084	20896304.049028	140333297.345806	44193610.6999293	48526656.2518959	64872918.6965023
Compound18					83.95257	35.267	303971343.325131	186520608.29683	306132243.49129	224738429.899851	215022158.142486	215911117.101019	471552384.530915	232926018.287359	428129773.073149	349922950.308692	260128819.631498	207375509.816955	340166767.363364	216606378.61822	225207949.054131	206117278.336099	273891917.82382	291196523.661347	164527595.924501	181188731.666239	262695161.134711
Compound19					83.9598	4.171	15410952.4747913	4339461.74814802	5275276.56113644	4324190.07165989	2623079.76137154	4640382.98259579	37876980.8513885	4557447.73833821	19537652.7833549	14009200.4507486	11686869.9868708	1814234.88115498	64806435.2604434	9932896.05325492	4385512.90938652	4716502.64877224	47831044.4164655	4717956.94425797	8660543.86659289	8112783.64183136	4103042.74315224
Compound20					83.95981	3.835	5938719.59116634	3793276.79317714	37406468.4832297	3958959.8304019	5085413.87727421	6242922.14371678	77962314.1114132	9730954.74982169	11780971.5369429	32348484.4931805	32926386.0906801	6437311.66178273	92206619.3456689	8027571.19393988	10913895.5974945	2570877.9877439	1598826.85492669	1411295.15982737	23092060.8360654	11477072.9362952	1525990.74638885
Compound21	; UE0050000	; C4 H4 O2	; Metabolic pathways;Other		84.0215	4.122	889776466.81171	1283738996.79175	449067035.228116	671931707.046709	638181642.781101	434889518.594471	204907838.099048	256421106.731968	530936228.210818	137669080.787086	195697963.544522	196281650.960619	627558071.85922	492914017.224991	479301463.743912	994281917.875488	322396289.66253	971551531.422685	960836925.48029	1045034899.93793	822276113.885786
Compound22	; UE0050000; UE0050000	; C4 H4 O2; C4 H4 O2	; Metabolic pathways;Other; Metabolic pathways;Other		84.02154	3.772	432408047.983823	384655662.674759	179575942.693594	380127432.467334	208978694.077888	233702573.520662	180970786.192321	63647334.7320443	226592926.892865	110531924.869574	120487722.8685	128758509.456857	394807248.726231	252707594.04894	228433364.845808	208881845.707557	51981184.7506435	269894078.877538	478350337.748774	430202391.383498	297814240.844739
Compound23	1H-1,2,4-Triazol-3-ol	C2 H3 N3 O			85.02789	4.227	7606205.29182462	6572116.8948572	21556891.120622	11581088.4477347	5342684.44801713	8287980.4409562	266535105.62665	20515809.9266986	8425315.99455353	18861731.9711195	14231132.5737259	12311542.4874603	19715054.6152304	13485920.9098672	10452019.0279663	8680045.98789087	351200101.830502	6986950.87974674	10312906.5488269	7044309.59790542	10813972.8770189
Compound24			Protein digestion and absorption;Tropane, piperidine and pyridine alkaloid biosynthesis		85.08958	9.022	413776619.544817	652406835.939582	794729116.549129	397476302.749723	880882826.756426	660099957.516698	286348770.480048	371178775.768657	247897652.025817	344145156.673256	302708763.69971	410599461.738963	369542012.092605	440603668.653871	321744201.589755	227521982.36036	198445107.121667	184446881.872625	95032711.298461	626275160.230123	853182853.853775
Compound25	2908; ; 4-Penten-1-amine; ; ; 3-Methyl-2-buten-1-amine; 3-Methyl-2-buten-1-amine	C5 H11 N; ; C5 H11 N; ; ; C5 H11 N; C5 H11 N	Protein digestion and absorption;Tropane, piperidine and pyridine alkaloid biosynthesis		85.08959	4.905	3572026552.69531	2624528801.79581	4013109333.0665	3123198049.70377	2544771776.75999	5167969832.55964	1376581943.49619	1631648764.02242	1437235421.056	536555468.966439	1714119636.82704	619027719.146225	983741087.708929	3067318354.08523	1350555713.3036	1335417542.86806	1433629227.47131	1909077120.58969	3973161910.59386	2687336080.42032	1672975734.74738
Compound26					86.03533	3.727	354927808.228553	338808708.226648	237482878.112845	223782790.541696	164362819.826889	164951363.932613	169882739.39137	74521569.7471597	252905421.674887	77441374.3332354	85405251.5715014	102296539.662281	361257601.229995	210904440.37455	191561233.80765	188683577.183919	7628601.46129616	12170579.9538963	368564133.328761	416187074.156123	260160193.215827
Compound27	; Biacetyl	; C4 H6 O2	; Microbial metabolism in diverse environments;Other	; Other	86.0371	4.105	331792829.287071	263748858.11672	263137026.34375	219830024.919482	41462299.7402147	93726714.0333714	65661040.18042	47475720.0441489	75229162.4328979	21949156.052076	31475761.6105297	25130460.6788788	67244658.6789249	232530779.19697	155649947.780021	131760851.398545	319818111.813018	188806252.463289	250969530.073557	186852407.03136	182132600.253757
Compound28					87.01648	35.295	62445288.0478139	96659570.2804665	43408994.2685596	45433462.7007643	53461742.9537214	95378780.4751131	108114684.892703	147951651.432145	137269443.869883	75121510.5315704	69033649.4237428	35087553.9407755	32147369.6166173	47811695.0025351	52624708.3340411	85804608.7448677	65296345.5477431	67657121.6072032	82634852.3532088	46731953.0297299	106877576.292164
Compound29	N,N-Dimethylacetamide	C4 H9 N O	Metabolic pathways;Biosynthesis of secondary metabolites;2-Oxocarboxylic acid metabolism;Cyanoamino acid metabolism;Glucosinolate biosynthesis;Arginine and proline metabolism;Other	Superpathway of linamarin and lotaustralin biosynthesis;Other	87.06878	17.199	117009083.333364	122451256.766524	100946596.378698	66221468.6693572	34726511.1246004	35719073.192593	342325716.703846	33171482.0279887	99471896.7748425	305480403.04352	100914738.55208	144119481.717603	130012335.640164	53471407.7926004	84775272.3071085	193264909.282876	189484066.63901	80826431.6178048	102498345.167607	110872859.284826	290909280.351896
Compound30	N,N-Dimethylacetamide	C4 H9 N O	Metabolic pathways;Biosynthesis of secondary metabolites;2-Oxocarboxylic acid metabolism;Cyanoamino acid metabolism;Glucosinolate biosynthesis;Arginine and proline metabolism;Other	Superpathway of linamarin and lotaustralin biosynthesis;Other	87.0688	4.011	818690110.761915	1688194522.85437	1392977595.39355	1683024128.54902	498519168.430725	493158207.495447	1034322960.39212	517556531.632491	965285658.274014	232380828.845936	519015495.18471	159349801.3735	828726981.681184	424745692.918902	597254223.744511	1081661740.27385	677588338.531258	661633527.030153	1748996744.50999	1104280350.90018	1090489931.79284
Compound31	N,N-Dimethylacetamide	C4 H9 N O	Metabolic pathways;Biosynthesis of secondary metabolites;2-Oxocarboxylic acid metabolism;Cyanoamino acid metabolism;Glucosinolate biosynthesis;Arginine and proline metabolism;Other	Superpathway of linamarin and lotaustralin biosynthesis;Other	87.0688	15.285	75003866.4524874	167654094.92335	155232974.99567	149625168.144545	72059865.2233186	52909700.8032582	145406625.502224	104244818.024375	117930391.70851	254752184.540124	124379862.461107	125592294.797747	150419598.065292	97086237.8897317	135855277.369797	114664662.23408	121928603.565264	95364167.1507308	137784488.06247	124854255.519247	165356542.912696
Compound32	N,N-Dimethylacetamide	C4 H9 N O	Metabolic pathways;Biosynthesis of secondary metabolites;2-Oxocarboxylic acid metabolism;Cyanoamino acid metabolism;Glucosinolate biosynthesis;Arginine and proline metabolism;Other	Superpathway of linamarin and lotaustralin biosynthesis;Other	87.06882	3.798	473658789.340984	906507484.539935	744501375.417439	945012570.347832	16649571.0432439	138249948.903271	92053374.8456545	141750048.986829	543663435.093076	13962343.0736797	13254699.0754267	2682697.88729611	56524072.0943715	282842551.006403	441238627.23929	744788317.210114	247785397.116674	489853428.161138	1045827864.66776	543198139.054328	620751691.16866
