Name	Assigned Name	Formula	Molecular Weight	RT [min]	A1	A2	A3	A4	A5	A6	B1	B2	B3	B4	B5	B6	C2	C4	C6	D1	D2	D3	D4	D5	D6
Compound1	Choline	C5 H13 N O	71.07375	4.481	891031013.983756	973370114.48315	808676112.233022	1110433303.2793	1147999916.26385	1361099770.91382	1085488169.23508	843308184.858677	1225354659.14701	725265511.182614	271610435.445744	880746401.024565	1684011478.76819	844927507.3426	2600977059.35571	849859827.392684	1058411706.38428	1862327881.02233	2165892009.12347	711955772.79044	502204954.400578
Compound5	Propylamide	C3 H7 N O;	73.05333	4.073	158342957.426286	164881235.245584	13654781.2983059	76051793.066841	37526308.7225094	78266494.5637693	6381416.48624602	16052898.3388904	25566371.1025026	43377733.0600134	20632075.0031846	50875370.0810701	320693316.36406	304858569.818123	72157973.3111431	68280808.1415777	54802114.07848	20021317.6321159	57186987.5595862	81109101.0479362	116760830.087014
Compound13	Cyclohexylamine	C6 H13 N	82.0786	4.929	473678521.746409	630193867.637963	373666297.482853	337447736.069986	222454313.383997	374011121.915475	197001313.576799	375299110.915558	302712037.049717	338115659.089865	174006332.838556	457904551.180766	234298924.75696	604370988.887361	474627971.280569	347841896.561704	794788594.481261	338817967.177389	346338253.963343	482781756.162171	357795121.023322
Compound14	Cyclohexene	C6 H10	82.0786	10.453	310988129.994477	453913171.529908	439963008.822815	586483213.857191	302199314.623539	678803060.505227	405250734.335085	952722862.475928	1051562498.28652	654147191.239815	1021188088.1021	943550690.282171	450743079.469143	1419781971.62468	1245632539.97403	982759816.400167	1939532598.33296	1052169420.02962	1406278749.62484	1545617166.87067	887715081.878344
Compound16	3-Cyanopropanal	; C4 H5 N O	83.03754	4.107	235401380.080928	126752662.295004	31587485.0791933	151925388.205751	179636378.597171	150252435.553346	56503247.1909785	113855222.131647	93159665.3863477	174377223.105524	48410330.1281803	95371320.8194351	179158777.331582	85294979.4897779	138678923.057934	75404620.17219	111561988.686274	63752958.7887003	73865035.4776494	144830844.214416	126371333.287406
Compound21	Methyl propiolate	; C4 H4 O2	84.0215	4.122	671931707.046709	960836925.48029	638181642.781101	1045034899.93793	434889518.594471	822276113.885786	137669080.787086	627558071.85922	195697963.544522	492914017.224991	196281650.960619	479301463.743912	889776466.81171	1283738996.79175	449067035.228116	204907838.099048	994281917.875488	256421106.731968	322396289.66253	530936228.210818	971551531.422685
Compound23	1H-1,2,4-Triazol-3-ol	C2 H3 N3 O	85.02789	4.227	11581088.4477347	10312906.5488269	5342684.44801713	7044309.59790542	8287980.4409562	10813972.8770189	18861731.9711195	19715054.6152304	14231132.5737259	13485920.9098672	12311542.4874603	10452019.0279663	7606205.29182462	6572116.8948572	21556891.120622	266535105.62665	8680045.98789087	20515809.9266986	351200101.830502	8425315.99455353	6986950.87974674
Compound25	3-Methyl-2-buten-1-amine	C5 H11 N; ; C5 H11 N; ; ; C5 H11 N; C5 H11 N	85.08959	4.905	3123198049.70377	3973161910.59386	2544771776.75999	2687336080.42032	5167969832.55964	1672975734.74738	536555468.966439	983741087.708929	1714119636.82704	3067318354.08523	619027719.146225	1350555713.3036	3572026552.69531	2624528801.79581	4013109333.0665	1376581943.49619	1335417542.86806	1631648764.02242	1433629227.47131	1437235421.056	1909077120.58969
Compound27	Biacetyl	; C4 H6 O2	86.0371	4.105	219830024.919482	250969530.073557	41462299.7402147	186852407.03136	93726714.0333714	182132600.253757	21949156.052076	67244658.6789249	31475761.6105297	232530779.19697	25130460.6788788	155649947.780021	331792829.287071	263748858.11672	263137026.34375	65661040.18042	131760851.398545	47475720.0441489	319818111.813018	75229162.4328979	188806252.463289
Compound29	N,N-Dimethylacetamide	C4 H9 N O	87.06878	17.199	66221468.6693572	102498345.167607	34726511.1246004	110872859.284826	35719073.192593	290909280.351896	305480403.04352	130012335.640164	100914738.55208	53471407.7926004	144119481.717603	84775272.3071085	117009083.333364	122451256.766524	100946596.378698	342325716.703846	193264909.282876	33171482.0279887	189484066.63901	99471896.7748425	80826431.6178048
