OTU	Genus	Colon_A1	Colon_A2	Colon_A3	Colon_A4	Colon_A5	Colon_A6	Colon_B1	Colon_B2	Colon_B3	Colon_B4	Colon_B5	Colon_B6	Colon_C1	Colon_C2	Colon_C3	Colon_C4	Colon_C5	Colon_C6	Colon_D1	Colon_D2	Colon_D3	Colon_D4	Colon_D5	Colon_D6	SI_A1	SI_A2	SI_A3	SI_A4	SI_A5	SI_A6	SI_B1	SI_B2	SI_B3	SI_B4	SI_B5	SI_B6	SI_C1	SI_C2	SI_C3	SI_C4	SI_C5	SI_C6	SI_D1	SI_D2	SI_D3	SI_D4	SI_D5	SI_D6
0df6c802966e8670279671824da4f10a	 g__Lactobacillus	0.001	0.0109	0.2388	0.0678	0.1406	0.0887	0.1314	0.0116	0.133	0.0293	0.0096	0.0766	0.0161	0.0273	0.0812	0.0955	0.1024	0.1036	0.1577	0.0262	0.1186	0	0.0058	0.0017	0.0088	0.109	0.2686	0.3351	0.3056	0.1806	0.1951	0.1758	0.2562	0.4642	0.358	0.2346	0.0684	0.5843	0.138	0.3647	0.2301	0.0923	0.0497	0.1171	0.011	0.005	0.0905	0.0247
a9b24370bdb02a8ee91855de7b8b2813	 g__Bifidobacterium	0.0013	4e-04	0.2916	0.0104	0.2623	0.0214	0	0.0015	0	4e-04	0.0316	0.0343	0.1349	0.0133	0.1528	0.09	0.1034	0.0227	0.2088	0.0627	0.0066	0.0065	6e-04	0.024	0.0034	8e-04	0.4038	0.0906	0.2963	0.2408	0	0.0023	0	0.124	0.002	0.3658	0.0016	0	0	0.0038	0.1875	0.2404	0.01	0.6506	5e-04	0	0	0.013
df0e3d38eec730326754d8c17a8b8efe	 g__Turicibacter	0.0048	0	0.1046	0	0.2697	0	0.2075	0	0.2106	1e-04	2e-04	0	0	5e-04	0	0	0	0	0.1853	0	0.0985	0	0.001	0	0.2005	0	0.2135	3e-04	0.2335	1e-04	0.5663	0	0.6041	0.0259	0	0	0	0	0	0	2e-04	0	0.776	0	0.0015	0	0.3572	0
95fdd816723ca482a5caba10bea171c8	 g__Lactobacillus	0.0028	0.0937	0.0028	0.0179	0	0.0033	0.0064	0.057	0.0015	0.013	0.2463	0.0104	0.0569	0.0082	0.0094	0.028	0.1541	0.0266	0.0021	8e-04	0.0636	0.0034	0.0948	7e-04	0.0947	0.2932	0.0014	0.0873	0	0.0172	0.0036	0.1355	0.0085	0.0824	0.1138	0.0361	0.3626	0.0404	0.1794	0.0532	0.157	0.2312	0.0033	0.0176	0.0567	0.0274	0.0111	0.3626
9cf3ece63fb5e5d8a14a81d6ec6f2b7b	 g__Candidatus_Arthromitus	0.0033	1e-04	2e-04	9e-04	0.0012	0.0027	0.0027	0.0024	0.0021	0.0013	0.0052	3e-04	0.0043	0	0.0021	0.0022	0.005	9e-04	2e-04	0	0.0031	0	6e-04	0	0.4089	0.0716	6e-04	0.0172	0.0051	0.2937	0.0044	0.0513	0.0268	0.0198	0.2782	0.0262	0.2855	0.1391	0.4307	0.0492	0.0554	0.0141	0.0027	1e-04	0.0018	0	0.0715	0.0694
9a13cbb8e1b12468bf22d6a05aafb0c0	 g__Alistipes	0.0803	0.1344	0.0076	0.093	0.0121	0.0893	0.0236	0.0628	0.0161	0.0573	0.0309	0.1133	0.0623	0.0403	0.0395	0.1084	0.0299	0.0821	0.0122	0.0983	0.0508	0.0511	0.0333	0.0627	1e-04	0	0	0	0	0	0	0	0	0	0	0	0	9e-04	0	0	0	3e-04	0.0017	0.0012	0	0	0.0051	0.0266
5be31cfb3ad61e104009ab6fb46f6d7b	 g__Muribaculaceae	0.0151	0.0291	0.0169	0.0225	0.0142	0.0258	0.0234	0.0795	0.0209	0.0347	0.0384	0.0237	0.0413	0.0324	0.017	0.0335	0.0217	0.0253	0.0195	0.0153	0.0326	0.0079	0.0251	0.0455	0.0561	0.0794	0.0105	0.0406	0.0112	0.0251	0.0409	0.1736	0	0.0308	0	0.0499	0	0	0	3e-04	0.0265	0.028	0.0035	0.0181	0.0084	0	0.0057	0
6f1cbae792de3e1162d3d7dffbe4bb20	 g__Lactobacillus	0	0.0017	0.0124	0.0129	0.0188	0.0146	0.0214	0.0069	0.0186	0.0035	0	0.0069	0.0045	0.0041	0.0228	0.0135	0.0437	0.0092	0.0302	3e-04	0.0032	0	0	0	0.0011	0.0062	0.0367	0.1231	0.044	0.1313	0.0473	0.0965	0.0562	0.0621	0	0.0169	0.0533	0.0801	0.0734	0.1424	0.1006	0.0314	0.0137	0.0033	0	0	0.0026	0
72e530a4206f2e4804d502f4dfca8387	 g__Muribaculaceae	0.0211	0.0187	0.0179	0.0286	0.0168	0.0165	0.0483	0.0349	0.0256	0.0299	0.0193	0.0217	0.028	0.0359	0.0458	0.0389	0.0364	0.0403	0.0407	0.0481	0.0227	0.0418	0.0423	0.0421	0.0096	0.0161	0.0064	0.0299	0.0083	0.0058	0.0268	0.0277	0	0.0241	0.0019	0.0576	0	0.0027	0	0.0011	0.011	0.0704	0.0032	0.0427	0.0077	0	0.0024	0.0026
b44aff2995f396f00ad579d8e6684335	 g__Muribaculaceae	0.0116	0.0259	0.0137	0.0233	0.0136	0.0197	0.0195	0.0497	0.0193	0.0292	0.0305	0.0223	0.0303	0.0228	0.0124	0.0233	0.0216	0.0163	0.0165	0.0136	0.0274	0.0052	0.0142	0.0374	0.0493	0.058	0.012	0.0307	0.0114	0.0226	0.0325	0.1237	0	0.0191	0.0019	0.0459	0	0.0042	0	0	0.0225	0.0199	0.0021	0.0147	0.0032	0.0015	0.0065	0.0125
