rdp	Colon_A1	Colon_A2	Colon_A3	Colon_A4	Colon_A5	Colon_A6	Colon_B1	Colon_B2	Colon_B3	Colon_B4	Colon_B5	Colon_B6	Colon_C1	Colon_C2	Colon_C3	Colon_C4	Colon_C5	Colon_C6	Colon_D1	Colon_D2	Colon_D3	Colon_D4	Colon_D5	Colon_D6	SI_A1	SI_A2	SI_A3	SI_A4	SI_A5	SI_A6	SI_B1	SI_B2	SI_B3	SI_B4	SI_B5	SI_B6	SI_C1	SI_C2	SI_C3	SI_C4	SI_C5	SI_C6	SI_D1	SI_D2	SI_D3	SI_D4	SI_D5	SI_D6
Aerococcaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7e-04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3e-04	0	0	0
Akkermansiaceae	0	0	0.0032	0.005	0	0.0256	0	0	0.0044	0	0	0	0	0.0641	8e-04	0	0.0094	0	0	0.0546	0	5e-04	0	0.1541	0	0	2e-04	0	0	7e-04	0	0	0	0	0	0	0	0	0	0	6e-04	0	0	0.0042	0	0.0105	0	0
Bacteroidaceae	0.0432	0.0872	0.0251	0.1196	0.025	0.1919	0.0694	0.1632	0.0909	0.0725	0.0513	0.0679	0.0966	0.2509	0.1102	0.0611	0.0595	0.0754	0.0611	0.0393	0.087	0.2241	0.144	0.0919	0	3e-04	0	0	0	0	0	0	0	0	0	0	0	0.0012	0	0	0	0	9e-04	4e-04	0	0	4e-04	0
Bifidobacteriaceae	0.0013	4e-04	0.2916	0.0104	0.2623	0.0214	0	0.0015	0	4e-04	0.0316	0.0343	0.1349	0.0133	0.1528	0.09	0.1034	0.0227	0.2088	0.0627	0.0066	0.0065	6e-04	0.024	0.0034	8e-04	0.4038	0.0906	0.2963	0.2408	0	0.0023	0	0.124	0.002	0.3658	0.0016	0	0	0.0038	0.1875	0.2404	0.01	0.6506	5e-04	0	0	0.013
Boseaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3e-04	0	0	0	0
Bradyrhizobiaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0205
Brevibacteriaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2e-04	0	0	0	0	0	0	0	0	0	0	0
Burkholderiaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1e-04	0	3e-04	0	0	0	2e-04	0	0	4e-04	0	0	0.0012	0	0	0	0	0	0.0019	0	0.0323	0	0.0412
Clostridiaceae 1	0	0	0.0097	0	0.0215	0	0	0	0.0042	0	0	0	0	0	0	0	0	0	0.0353	0	0.0408	0	0.1256	0	2e-04	0	4e-04	0	0.0036	0	0	0	3e-04	0.0062	0	0	0	0	1e-04	0	0	0	0.0801	0	0.1259	0	0.0144	0
Clostridiales_Incertae Sedis XIII	0.0015	0.0014	0	4e-04	0	0.0022	0	5e-04	4e-04	0	0	4e-04	0.0012	8e-04	5e-04	8e-04	0	0	2e-04	0	4e-04	0	0	1e-04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
