rdp	Colon_A1	Colon_A2	Colon_A3	Colon_A4	Colon_A5	Colon_A6	Colon_B1	Colon_B2	Colon_B3	Colon_B4	Colon_B5	Colon_B6	Colon_C1	Colon_C2	Colon_C3	Colon_C4	Colon_C5	Colon_C6	Colon_D1	Colon_D2	Colon_D3	Colon_D4	Colon_D5	Colon_D6	SI_A1	SI_A2	SI_A3	SI_A4	SI_A5	SI_A6	SI_B1	SI_B2	SI_B3	SI_B4	SI_B5	SI_B6	SI_C1	SI_C2	SI_C3	SI_C4	SI_C5	SI_C6	SI_D1	SI_D2	SI_D3	SI_D4	SI_D5	SI_D6
Acetatifactor	0.0015	0.0071	0.0018	0.003	0	0.0166	0.0034	0.0077	0.0043	0.0018	0.0032	0.0074	0.0066	0.0024	0.0023	0.0012	0.0016	0.0063	6e-04	0.0313	0.006	5e-04	0.0044	0.0098	0	5e-04	0	0	0	0	0	3e-04	0	0	0.0019	0	0	5e-04	0	0	0	0	0	0	0	0	0.0066	0
Acinetobacter	0	0	0	2e-04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0045	0	0.0219	0	0	0	0	0	0	0	0	0	6e-04	0	0.0024	0	0	0	0.0013	0	0.3045	0	0
Acutalibacter	0.0053	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0012	0	8e-04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0015	0
Adlercreutzia	0.0289	0.0065	0.0095	0.0101	0.0124	0.0043	0.0188	0.0171	0.0115	0.0071	0.0246	0.0118	0.0147	0.0101	0.0029	0.0112	0.0134	0.0107	0.007	0.0038	0.0125	0.005	0.0101	0.0067	0.0728	0.0504	0.0084	0.0501	0.0142	0.0156	0.0155	0.0657	0	0.0415	0.0015	0.0446	0	4e-04	0	4e-04	0.0356	0.0509	5e-04	0.0099	0.007	0.0209	0.0066	0.0024
Aerococcus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7e-04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3e-04	0	0	0
Akkermansia	0	0	0.0032	0.005	0	0.0256	0	0	0.0044	0	0	0	0	0.0641	8e-04	0	0.0094	0	0	0.0546	0	5e-04	0	0.1541	0	0	2e-04	0	0	7e-04	0	0	0	0	0	0	0	0	0	0	6e-04	0	0	0.0042	0	0.0105	0	0
Alistipes	0.0884	0.1468	0.0118	0.1146	0.0223	0.1068	0.0354	0.0923	0.0274	0.0721	0.0474	0.1256	0.0899	0.066	0.0563	0.1215	0.0399	0.1021	0.0303	0.1186	0.0937	0.1013	0.051	0.1166	1e-04	0	0	0	0	0	0	0	0	0	0	0	0	9e-04	0	2e-04	0	3e-04	0.0021	0.0012	0	0	0.0057	0.0266
Anaerofustis	7e-04	0	0	2e-04	0	0	0	0	0	0	1e-04	3e-04	4e-04	0	0	2e-04	6e-04	0	1e-04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Anaerotignum	0.0018	0.0013	6e-04	0.0012	0	0.0011	5e-04	0.0015	9e-04	0	0.001	7e-04	5e-04	0.0015	5e-04	0	0.0014	0.002	0	8e-04	6e-04	7e-04	0	7e-04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteroides	0.0429	0.0767	0.0251	0.1108	0.0238	0.1824	0.0627	0.1511	0.0849	0.0683	0.0461	0.0621	0.0847	0.2365	0.1011	0.0546	0.0563	0.0723	0.0532	0.0363	0.0816	0.2077	0.1249	0.089	0	0	0	0	0	0	0	0	0	0	0	0	0	7e-04	0	0	0	0	9e-04	4e-04	0	0	0	0
