Name	Assigned Name	Formula	KEGG Pathways	Metabolika Pathways	Molecular Weight	RT [min]	Area: A7-SI-GenX.raw (F1)	Area: A9-SI-GenX.raw (F3)	Area: B8-SI-micro-metlab.raw (F7)	Area: B10-SI-micro-RNA.raw (F9)	Area: B12-SI-micro-metlab.raw (F10)	Area: D7-SI-GenX.raw (F15)	Area: D9-SI-GenX.raw (F17)	Area: B7-SI-GenX.raw (F6)	Area: B9-SI-GenX.raw (F8)	Area: D8-SI-micro-metlab.raw (F16)	Area: D10-SI-micro-metlab.raw (F18)	Area: D12-SI-micro-DNA.raw (F19)	Area: A8-SI-micro-DNA.raw (F2)	Area: A10-SI-micro-DNA.raw (F4)	Area: A12-SI-micro-RNA.raw (F5)	Area: C8-SI-micro-DNA.raw (F12)	Area: C10-SI-micro-RNA.raw (F13)	Area: C12-SI-micro-metlab.raw (F14)
Compound1	3-Buten-1-amine; 	C4 H9 N; 	NA	NA	71.07412	4.399	58195871.4434696	62664401.6915432	103196841.127509	78094093.1639067	87835360.4364029	52631938.8105853	43951264.6687078	50930255.790222	49133797.9515949	64282415.5588712	18648183.3083233	74437820.5936173	66323194.6703213	170055631.554687	48076322.0062414	82320195.6702159	53203469.8457576	24639087.8316032
Compound2			NA	NA	71.93047	35.695	998567.312607571	1417208.91299436	756660.837403906	1563098.2621036	9552841.86173374	424854.499794279	326770.75602257	9252.93989146912	347360.438897473	22099350.0701686	3262275.23181756	18469362.1034813	683571.63365305	27906.4040140132	841178.082198352	1154995.09216863	895097.458231031	1284191.23651704
Compound3			NA	NA	71.93052	2.827	115593.692539257	67030.1941247942	180440.030251404	261885.849835738	261535.5745354	281460.782246562	52366.1692368394	71500.3446137436	51392.1302530813	222615.666340103	132662.041664668	266943.218308108	153760.279743911	343659.222350724	235119.534224453	270865.221527646	311041.099256964	412793.754810325
Compound4			NA	NA	72.01957	3.573	272040.594897244	431750.706796709	1324316.84391384	1247964.52985126	1420506.80540085	769740.60938987	394572.440172684	727301.424479896	839256.133879075	1284811.9074635	6056893.46235952	276738.634218543	2297476.48173223	2215863.09668584	939973.885115085	779786.723271131	1342125.89133331	895021.770815778
Compound5			NA	NA	72.01965	4.205	2114758.2726443	1276182.36090769	3237272.49068259	860517.21787318	1310253.06232804	464589.547614264	845814.572399416	799379.37524504	446706.307309558	1341906.729807	616186.033191899	649173.767671634	8375116.82297065	5072193.784433	469078.424318712	807219.58429883	325777.039790183	553612.704310846
Compound6			NA	NA	72.52514	4.348	24410.9372848971	39035.3021138849	813878.865706675	850508.683609724	1536634.44281221	14523.1261026419	15612.566288829	18813.5886926493	12797.1153361535	130427.205352648	485422.512749189	47752.8351063187	357005.462838123	224790.848877014	1676190.68786262	257011.102479518	202358.379570602	135943.328637208
Compound7			NA	NA	73.01496	3.457	1462068.97951497	759729.703375416	2955509.36288612	1240245.88553475	2160892.31394112	308298.266115642	710905.998245193	675996.475480992	405139.531458939	14194392.7843017	836210.382271449	15048658.1853157	3535009.75893925	14425561.5203569	908546.658738297	2296675.16968588	977212.665081555	1834565.33799781
Compound8	; DL-Lysine	; C6 H14 N2 O2	NA	NA	73.05336	3.944	3906009.50514341	7965379.12749385	7604522.25304315	5119463.32705224	17899530.9800024	2323889.55123962	1097440.38718024	2302564.61314292	1117226.22232878	22136286.7307877	2567670.70638372	16483254.7660568	9213678.81967143	31355242.238877	6254097.13253544	6592513.6455216	4743898.48978221	8267537.50283775
Compound9			NA	NA	73.05337	3.5	141865.327730243	133745.304832158	984007.598360779	521339.071834217	695211.668852844	73697.5037589796	78002.6889150825	198198.522374885	82014.3312497422	2039900.43028269	303051.243654801	2767963.47870621	1329240.22322975	2239134.0351701	723079.706140181	680056.92639317	459713.47010642	589083.637374372
Compound10			NA	NA	75.06898	3.635	25756.8302756486	22051.191827606	56908.6165732541	118069.247531565	59140.7953375137	21490.1783004944	16863.6672384997	24179.4275737766	21086.8350705901	127210.87582646	67714.1472825277	57149.0768987583	56243.6453718594	104612.114187827	83171.4989939535	52094.3494843771	1300636.26165738	193966.623441128
