Name	Assigned Name	Formula	KEGG Pathways	Metabolika Pathways	Molecular Weight	RT [min]	A7	A9	B8	B10	B12	D7	D9	B7	B9	D8	D10	D12	A8	A10	A12	C8	C10	C12
Compound1	3-Buten-1-amine	C4 H9 N;	NA	NA	71.07412	4.399	58195871.4434696	62664401.6915432	103196841.127509	78094093.1639067	87835360.4364029	52631938.8105853	43951264.6687078	50930255.790222	49133797.9515949	64282415.5588712	18648183.3083233	74437820.5936173	66323194.6703213	170055631.554687	48076322.0062414	82320195.6702159	53203469.8457576	24639087.8316032
Compound8	DL-Lysine	; C6 H14 N2 O2	NA	NA	73.05336	3.944	3906009.50514341	7965379.12749385	7604522.25304315	5119463.32705224	17899530.9800024	2323889.55123962	1097440.38718024	2302564.61314292	1117226.22232878	22136286.7307877	2567670.70638372	16483254.7660568	9213678.81967143	31355242.238877	6254097.13253544	6592513.6455216	4743898.48978221	8267537.50283775
Compound19	LU3453000	C4 H4 O2	NA	NA	84.02147	3.892	103761.037401355	89548.007112408	108742.659582772	2135850.07912714	413665.994591789	125129.867191363	28117.7693019137	85441.8109639448	115386.912399484	228917.223739606	2280419.60806993	550896.151666394	241650.501784758	525232.547510676	308287.833296583	485496.892057178	549246.773282531	722050.574509435
Compound23	Piperidine	C5 H11 N	NA	NA	85.0896	4.616	55296434.3452931	31844874.7621736	27596408.8665346	17513224.8475398	78237514.2396015	25800238.5931575	7162861.23669874	19728959.989798	18425945.444479	28180866.6626391	19887227.6287034	105561732.985241	35574744.1811279	61731983.3202117	24091147.2231903	72698050.3533642	45590572.1911987	48034290.9807546
Compound25	Biacetyl	C4 H6 O2;	NA	NA	86.03721	3.602	223483.246128299	427284.612637264	906682.948438633	708536.652863777	744091.840081622	413729.294539965	286387.417096345	424737.363805496	342097.126402687	1182563.89408738	3592810.7031504	266959.840996519	1588213.85797167	1839977.89033052	591644.290649802	484353.218446657	797530.307287892	666869.037081468
Compound27	DL-Homoserine	C4 H9 N O3	NA	NA	87.03217	3.921	515598.420004888	184713.302533855	4178656.09687885	1741751.26483742	3843345.54802457	305990.587936207	351056.920951147	356127.279409511	117122.524422388	8860047.28951267	1310467.12171303	11603447.99213	2291525.52771587	10438616.1181062	1317796.02939325	2227384.31282917	2002990.93808518	3855249.49210523
Compound28	oxazolidinone	C3 H5 N O2	NA	NA	87.03217	4.451	1679717.7552063	676930.634426477	7676579.49052159	3125145.03740589	6593454.6617504	310856.670340722	345454.479365906	649999.341683648	361340.780032571	20228023.9132961	2316502.92353331	11695949.615478	3839060.1672226	10530360.9390874	4098529.49362308	4262835.49079345	3758314.51522858	4903066.76873717
Compound31	Pyruvic acid	C3 H4 O3	NA	NA	88.01444	4.01	259309.285636127	449125.538754343	870943.844212951	233739.136216291	1543938.19727874	226419.45531705	261968.876106998	130810.225117666	217298.605301982	49870.4937328013	264021.192943425	111943.199126364	1030097.60204231	333017.808237954	358089.853292422	210536.27859323	158490.485689319	14065.6135251903
Compound33	DL-Alanine	C3 H7 N O2	NA	NA	89.04808	3.506	4062983.09427164	2366662.45705379	9113807.49890382	5318526.44433077	7795709.36063846	813747.340748589	1134732.29182911	1859272.62280637	1126048.10467228	19658531.2402672	4750709.0310696	12496819.856756	12546198.5675593	17625554.4245514	7139743.73218577	10503618.2685509	6086477.34399033	4871527.83833501
Compound34	Lactamide	C3 H7 N O2;	NA	NA	89.0488	3.938	2340353.65478512	1672684.77679533	5905451.10051581	5066817.64253441	5483207.81365982	1486549.51680362	697841.710262435	1250474.61125889	869325.155317459	14029382.0313615	3739796.92457569	9819926.08779736	4389599.45091864	12981381.9252924	1890091.87296781	3013717.09247039	4842565.48115037	4918574.21643303
Compound38	L-(+)-Lactic acid	C3 H6 O3	NA	NA	90.03009	4.691	22647880.7365142	2344256.76529337	71481071.0842569	34865552.4578328	53905303.4704005	1244674.63497067	1291020.9090065	11869833.3226474	4942040.90152293	10211292.3161261	9340953.41314586	5979758.56734852	8744460.90340585	31653805.2804244	13954396.1376125	48663346.7191736	2416196.76121509	12475656.8341937
Compound44	Maleimide	C4 H3 N O2	NA	NA	97.01686	3.585	16712.4245101607	13454.1875648119	128015.355862929	57812.7270944945	31234.4401159974	14074.147622639	9188.31788639799	16270.182460909	13375.5469670515	59058.4448159211	47174.2635897463	33820.8832571407	37190.2216671691	63731.22986508	204612.152405095	68285.0820847326	60891.9177882763	23830.7101183412
Compound55	(Z)-dehydrobutyrine	C4 H7 N O2	NA	NA	101.04791	3.928	770778.324672259	526256.895017433	2134390.43259818	1351553.45385754	2875406.58129428	337442.840453765	419451.128122859	586949.5071186	455085.819607844	4820400.34162586	2408193.35325214	7265598.07537414	4381942.84056864	9960809.54441041	1279983.16060243	3328197.25066339	2772179.82990284	2131153.1543537
