pathway	Colon_A1	Colon_A2	Colon_A3	Colon_A4	Colon_A5	Colon_A6	Colon_B1	Colon_B2	Colon_B3	Colon_B4	Colon_B5	Colon_B6	Colon_C1	Colon_C2	Colon_C3	Colon_C4	Colon_C5	Colon_C6	Colon_D1	Colon_D2	Colon_D3	Colon_D4	Colon_D5	Colon_D6	SI_A1	SI_A2	SI_A3	SI_A4	SI_A5	SI_A6	SI_B1	SI_B2	SI_B3	SI_B4	SI_B5	SI_B6	SI_C1	SI_C2	SI_C3	SI_C4	SI_C5	SI_C6	SI_D1	SI_D2	SI_D3	SI_D4	SI_D5	SI_D6
1CMET2-PWY	7193.1671	7403.7926	6859.233	7181.8374	6785.8327	7187.1041	7410.081	6701.1874	7590.6389	6922.9234	6409.263	7717.5077	7127.784	6481.8534	6917.4672	6450.7664	6416.9012	7274.4892	6402.6668	6939.645	7436.8377	7864.1545	7307.1861	6676.0625	4460.8092	4180.9	6550.9483	4874.8442	5871.4371	4664.1829	7900.1761	3731.4779	8318.5932	4381.8842	1669.7056	5713.5539	1035.5192	1631.7023	131.529	3438.5098	4972.0359	5731.5911	9502.4847	4880.2775	6446.8623	7830.5767	8077.3559	5767.4625
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY	0.0	0.3499	0.0	1.2968	0.0	2.4046	0.2296	0.6994	0.0	1.5719	0.3498	0.3499	0.699	0.0	1.2164	0.0	0.0	4.5067	0.0	0.3499	2.6359	0.0	0.0	0.0	0.0	47.5368	0.1167	20.2296	0.0	3.3245	0.0	2.4744	0.4667	0.0	4.4217	3.6359	3.2048	26.4348	2.0998	249.967	0.0	2.9064	1.2155	13.2151	0.0	68.1398	0.175	34.6359
AEROBACTINSYN-PWY	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.67	0.0	2.67	0.0	2.67	0.0	1.3249	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	38.0	0.0	29.696	106.0896	1.33	14.03	0.0	0.0	0.0	0.0	0.0	169.7806	0.0	30.0344
ALL-CHORISMATE-PWY	528.4497	10.0984	204.3837	29.3532	31.5732	49.4181	392.6569	19.0982	460.9913	72.1296	111.2876	9.8057	55.9212	134.5327	31.5173	0.0	0.0	98.3551	145.524	31.536	355.3443	95.0302	206.372	93.0638	159.9071	395.1427	1.2542	407.1901	0.0	44.8817	0.0	13.7617	20.6498	37.2747	184.0682	44.0957	159.4268	396.5838	19.6076	815.2379	0.0	19.2976	8.0401	165.4583	0.0	1477.4019	130.864	611.4439
ANAEROFRUCAT-PWY	6534.9541	8311.6493	9070.0435	8394.4049	11215.0329	8327.5242	10946.1573	7570.4637	11345.5	7521.1902	8042.8907	8912.8084	8093.1141	7087.4124	8114.6316	7407.3289	7714.8604	8456.8554	10029.5581	7562.5499	9945.1625	7192.4532	9070.0689	5950.5654	6863.6351	5659.4096	9280.5871	5907.8798	9947.505	4794.3623	13070.7727	4918.6704	14272.4451	5047.024	4338.673	3915.5067	4634.5336	4952.644	5342.6323	8293.3112	5757.6168	5036.05	15567.9092	3675.1747	8885.3003	7228.9952	12856.6013	7108.2814
ANAGLYCOLYSIS-PWY	9470.2604	9658.85	10712.3039	9588.7891	11504.3241	9373.6014	10965.9275	8812.5591	11407.0204	9287.1057	9324.9103	10018.0275	9295.4877	8511.9945	9867.1342	8828.8282	9925.6838	9634.5856	10861.8317	9012.7089	11058.5663	10081.4354	10332.8612	8575.6253	6732.1459	7894.6601	10855.9967	8913.4986	11325.2589	7140.2238	12399.443	7109.5848	13587.4527	9871.3268	8672.0352	7322.5386	8091.8925	9684.2633	7288.1096	9020.9929	9225.3682	8549.7109	14881.7585	6904.1358	11796.0518	7722.0915	12573.8967	9391.8887
ARG+POLYAMINE-SYN	1257.3111	1626.9398	2803.2478	2032.7737	4816.7223	1144.488	4030.9899	1425.2963	4104.7889	1196.4261	1056.4145	988.895	1535.5978	1165.459	1906.3332	1280.57	451.4067	1410.9365	3846.1603	1477.4615	3601.691	1413.4895	2602.2027	906.0526	3200.0241	590.6493	4209.9845	440.8599	4404.0297	151.2767	6761.3831	192.7892	7410.0125	775.9013	455.1311	153.2754	386.6415	560.3952	61.208	1010.1951	154.5246	211.8588	7230.1027	353.3042	1195.961	1430.8764	4931.6949	1550.351
ARGDEG-PWY	0.0	0.4665	0.0	1.8804	0.0	2.5606	0.2333	0.9326	0.0	2.0947	2.7959	0.4665	3.2581	0.0	1.6321	0.0	0.0	6.0444	0.0	2.0225	3.0314	6.0161	0.0	5.8887	0.0	85.5577	0.2332	48.4401	0.0	6.1789	0.0	1.3399	1.2944	0.0	75.0825	6.6697	55.4952	227.2877	6.482	458.8322	0.0	4.8537	1.6264	30.0146	0.0	1143.8235	0.2333	103.0398
ARGORNPROST-PWY	1719.8252	1185.9055	983.8262	971.2936	1400.7183	723.9348	1673.3999	455.4738	1600.0904	851.0223	868.7021	590.467	505.7187	554.1316	1317.5937	715.3327	581.446	938.4127	1052.3452	562.8274	1548.3448	899.0609	2239.5049	907.0039	1780.1752	582.2123	653.3746	375.479	1221.4066	116.7107	1071.7285	232.2828	869.1429	863.7247	490.2731	274.0815	499.0245	256.607	95.8752	218.0442	251.0889	863.0767	541.1226	398.2837	3640.5555	2874.0133	2006.1525	2038.8626
ARGSYN-PWY	7440.6927	6684.3383	6889.3576	6316.9407	8278.739	5643.42	6798.3605	5628.239	7019.4623	6628.4817	5712.1311	7112.9101	6908.877	5432.3788	6262.4503	5686.343	5231.55	6230.8732	6968.0499	6903.3667	6604.5536	6490.3746	6148.9218	6089.558	4296.9035	2774.4303	7429.4214	2892.5561	6786.438	3201.6395	7975.8138	2031.6309	8215.7267	3154.0993	1538.6938	4990.0417	1081.3978	1042.8903	137.3911	2157.9448	3925.2764	5081.0283	11304.8271	7784.047	5037.6813	6727.5474	8683.6272	5367.4585
ARGSYNBSUB-PWY	7477.9694	6290.7136	7253.383	6027.1296	8841.3231	5290.8252	7186.0012	5165.8211	7413.4572	6506.8874	5437.8919	6996.7635	6736.4585	5161.0525	6144.1791	5458.5384	5015.4335	6088.1911	7345.1855	6864.497	6570.9012	5924.4536	5564.2862	5992.8516	4517.7046	2454.5529	7998.0447	2895.3912	7352.6276	3302.7145	8662.8509	1511.8695	8961.4691	3202.0472	1374.1268	5087.235	1041.3554	1040.5943	107.3405	2166.4805	3808.2011	4993.3696	12172.0581	8034.2314	4570.8709	7953.4005	9369.3633	5326.4821
ARO-PWY	8677.0755	7166.5564	7628.7566	7274.2429	8681.6361	6752.8993	7299.5543	6303.7261	7708.4551	7490.9228	5439.8321	8011.0121	7661.5558	6483.6189	7182.9862	6451.7988	5155.965	7076.2062	7478.4443	7730.0436	6827.8366	7931.1523	7461.7601	6912.6432	4518.7455	2334.6801	7704.6791	2883.6172	6965.8827	3964.4184	7354.2017	1741.2227	7497.2397	3006.1433	1559.1217	5368.7973	1314.4531	1219.027	1106.0763	1974.3529	3257.5125	4571.0684	10843.3612	8298.1888	9495.1884	8705.4054	8974.3925	4441.9159
